entry_time,exit_time,symbol,type,entry_price,exit_price,qty,pnl,reason
2025-10-29 09:15:00+05:30,2025-10-29 09:20:00+05:30,NIFTY04NOV2526000CE,CE,129.5,195.6,75,4957.5,Target Hit
2025-10-29 09:30:00+05:30,2025-10-29 09:35:00+05:30,NIFTY04NOV2526000CE,CE,129.9,193.7,75,4785.0,Target Hit
2025-10-29 09:40:00+05:30,2025-10-29 09:45:00+05:30,NIFTY04NOV2526000CE,CE,129.3,191.0,75,4627.5,Target Hit
2025-10-29 09:50:00+05:30,2025-10-29 09:55:00+05:30,NIFTY04NOV2526100CE,CE,127.7,188.2,75,4537.5,Target Hit
2025-10-29 10:00:00+05:30,2025-10-29 10:05:00+05:30,NIFTY04NOV2526100CE,CE,127.9,185.2,75,4297.5,Target Hit
2025-10-29 10:10:00+05:30,2025-10-29 10:15:00+05:30,NIFTY04NOV2526100CE,CE,127.9,182.2,75,4072.5,Target Hit
2025-10-29 11:10:00+05:30,2025-10-29 11:15:00+05:30,NIFTY04NOV2525900PE,PE,127.7,173.2,75,3412.5,Target Hit
2025-10-29 11:20:00+05:30,2025-10-29 11:25:00+05:30,NIFTY04NOV2526100CE,CE,128.9,175.0,75,3457.5,Target Hit
2025-10-29 11:35:00+05:30,2025-10-29 11:40:00+05:30,NIFTY04NOV2526100CE,CE,129.0,171.3,75,3172.5,Target Hit
2025-10-29 12:20:00+05:30,2025-10-29 12:25:00+05:30,NIFTY04NOV2525900PE,PE,127.3,162.2,75,2617.5,Target Hit
2025-10-29 12:45:00+05:30,2025-10-29 12:50:00+05:30,NIFTY04NOV2526200CE,CE,128.0,161.6,75,2520.0,Target Hit
2025-10-29 12:55:00+05:30,2025-10-29 13:00:00+05:30,NIFTY04NOV2526200CE,CE,127.8,159.7,75,2392.5,Target Hit
2025-10-29 13:40:00+05:30,2025-10-29 13:45:00+05:30,NIFTY04NOV2526000PE,PE,128.9,162.8,75,2542.5,Target Hit
2025-10-29 13:50:00+05:30,2025-10-29 13:55:00+05:30,NIFTY04NOV2526200CE,CE,127.9,160.1,75,2415.0,Target Hit
2025-10-29 14:20:00+05:30,2025-10-29 14:25:00+05:30,NIFTY04NOV2526000PE,PE,129.2,166.2,75,2775.0,Target Hit
2025-10-29 14:40:00+05:30,2025-10-29 14:45:00+05:30,NIFTY04NOV2526000PE,PE,129.2,163.2,75,2550.0,Target Hit
2025-10-29 15:25:00+05:30,2025-10-30 09:15:00+05:30,NIFTY04NOV2526200CE,CE,127.7,160.8,75,2482.5,Target Hit
2025-10-30 09:30:00+05:30,2025-10-30 09:35:00+05:30,NIFTY04NOV2525900PE,PE,129.0,178.2,75,3690.0,Target Hit
2025-10-30 09:40:00+05:30,2025-10-30 09:45:00+05:30,NIFTY04NOV2525900PE,PE,129.2,177.9,75,3652.5,Target Hit
2025-10-30 09:55:00+05:30,2025-10-30 10:00:00+05:30,NIFTY04NOV2525900PE,PE,129.4,179.3,75,3742.5,Target Hit
2025-10-30 10:05:00+05:30,2025-10-30 10:10:00+05:30,NIFTY04NOV2525900PE,PE,128.8,178.9,75,3757.5,Target Hit
2025-10-30 10:15:00+05:30,2025-10-30 10:20:00+05:30,NIFTY04NOV2525900PE,PE,129.1,181.0,75,3892.5,Target Hit
2025-10-30 10:40:00+05:30,2025-10-30 10:45:00+05:30,NIFTY04NOV2525900PE,PE,129.2,178.1,75,3667.5,Target Hit
2025-10-30 10:55:00+05:30,2025-10-30 11:00:00+05:30,NIFTY04NOV2525800PE,PE,127.3,172.4,75,3382.5,Target Hit
2025-10-30 11:20:00+05:30,2025-10-30 11:25:00+05:30,NIFTY04NOV2526100CE,CE,127.3,170.6,75,3247.5,Target Hit
2025-10-30 11:35:00+05:30,2025-10-30 11:40:00+05:30,NIFTY04NOV2525800PE,PE,127.0,167.8,75,3060.0,Target Hit
2025-10-30 14:30:00+05:30,2025-10-30 14:35:00+05:30,NIFTY04NOV2525800PE,PE,127.8,167.9,75,3007.5,Target Hit
2025-10-30 14:45:00+05:30,2025-10-30 14:50:00+05:30,NIFTY04NOV2525800PE,PE,127.8,171.4,75,3270.0,Target Hit
2025-10-30 15:25:00+05:30,2025-10-31 09:15:00+05:30,NIFTY04NOV2526000CE,CE,127.3,166.6,75,2947.5,Target Hit
2025-10-31 09:30:00+05:30,2025-10-31 09:35:00+05:30,NIFTY04NOV2525900CE,CE,128.8,182.4,75,4020.0,Target Hit
2025-10-31 10:40:00+05:30,2025-10-31 10:45:00+05:30,NIFTY04NOV2525800CE,CE,128.7,180.7,75,3900.0,Target Hit
