time,option_type,reason
2025-10-29 09:25:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:20:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:25:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:30:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:35:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:40:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:45:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:50:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:55:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 11:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:05:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 11:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:45:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:00:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 12:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
